name_base_id,name_base,coverage_kind,language_qid,language_code,gender,name_qid,localized_name,source_dataset,source_license
"0","German","direct_language","Q188","de","unknown","Q21142901","Adolphine","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q56388248","Alinda","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q56298647","Alverich","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q125937172","Anjes","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q63646510","Anna-Sophie","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q33084013","Arnheid","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q101427589","Berti","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q110552631","Bogislaus","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q115275713","Burghardt","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q124101697","Butz","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q21143200","Cathrina","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q2965735","Christiane","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q60981858","Clementine","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q17436400","Conrad","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q122983505","Corca","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q1119228","Cornelia","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q107649248","Dominikus (Name)","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q117726235","Evamaria","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q123973004","Fleurie","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q21400631","Friedl","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q108910527","Hans-Stephan","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q67211983","Heidelore","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q115689763","Huschke","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q62703841","Johann Friedrich","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q116485826","Kalist","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q61766528","Kordt","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q115772785","Leur","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q123555154","Liska","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q1818817","Mathias","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q18760877","Mea","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q26046097","Paschasius","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q114383498","Rela","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q117745668","Reserl","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q96749438","Sibille","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q115689894","Sittig","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q60982327","Snello","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q124036215","Ulle","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q122964603","Velten","Wikidata Query Service","CC0-1.0"
"0","German","direct_language","Q188","de","unknown","Q56298134","Willibert","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q13258171","Alex","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q57689190","Ashworth","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q57678826","Asquith","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q47500307","Baker","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q50354801","Bannerman","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q16256123","Bebe","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q50367346","Beebee","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q57677445","Bengrey","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q62079214","Benik","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q50318342","Blanchard","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q50743338","Bolland","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q47720537","Boyles","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q56501756","Broadhurst","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q3645341","Brooke","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q41515130","Brooksbank","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q57058029","Carrol","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q21043141","Cave","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q16275193","Charlie","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q20020127","Chase","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q50363479","Chattin","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q57081159","Chisholm","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q17436400","Conrad","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q50824545","Cowper","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q50843609","Crabb","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q20731003","Crawford","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q48981369","Crawfurd","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q7849873","Cunningham","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q51530158","Cunningham","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q19839041","Cushman","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q14516546","Daniel","Wikidata Query Service","CC0-1.0"
"1","English","direct_language","Q1860","en","unknown","Q15804875","Deane","Wikidata Query Service","CC0-1.0"
