name_base_id,name_base,sphere_key,category,gender,name,name_qid,source_dataset,source_license
0,German,base_0,mythology,unknown,Beowulf,Q48328,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
0,German,base_0,mythology,unknown,Brunhild,Q992632,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
0,German,base_0,mythology,male,Roland,Q207535,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
0,German,base_0,mythology,unknown,Siegfried,Q333146,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
1,English,base_1,mythology,male,Galahad,Q831462,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
1,English,base_1,mythology,male,Gawain,Q831685,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
1,English,base_1,mythology,female,Guinevere,Q272054,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
1,English,base_1,mythology,male,King Arthur,Q45792,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
1,English,base_1,mythology,male,Lancelot,Q215681,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
1,English,base_1,mythology,unknown,Merlin,Q76148,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
1,English,base_1,mythology,male,Mordred,Q81109,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
1,English,base_1,mythology,male,Percival,Q728510,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
1,English,base_1,mythology,unknown,Tristan,Q413090,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Abner of Burgos,Q322560,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Achila II,Q393730,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Adelgaster,Q8188115,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Attilanus of Zamora,Q705797,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Azriel,Q557882,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Bernhard,Q824674,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Diego de Acebo,Q1220590,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Dominicus Gundissalinus,Q1237726,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Durand of Huesca,Q3041516,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Emilian of Cogolla,Q153204,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Fandilus,Q2082240,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Fernando Díaz Gudiel,Q5859476,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Fernando Pérez,Q5801647,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Flaianus,Q5457050,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Florentius,Q3746711,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Francio of Cantabria,Q5802517,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Froila,Q5505325,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Fruela Díaz,Q5506348,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Fulgentius of Cartagena,Q2616176,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,García Álvarez,Q1493998,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Gil de Torres,Q748383,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Gonzalo Miguel,Q5883112,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Gonzalo Pérez Gudiel,Q2420654,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Gonzalo de Aguilar,Q5883357,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Hugo of Santalla,Q387106,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Ibn Juzayy,Q3773066,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Ibn Luyun,Q3147449,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Isaac ibn Latif,Q1673518,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Jacob ben Reuben,Q1679439,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Juan de Ortega,Q2713819,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Judah ben Asher,Q828097,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
4,Castillian,base_4,ancient_person,male,Lucas de Tuy,Q3065693,CC0-WIKIDATA-MYTHIC-ANCIENT,CC0-1.0
