name_base_id,name_base,coverage_kind,country_code,source_region,source_year,source_rank,gender,localized_name,romanized_name,source_population,source_note,source_dataset,source_license
"0","German","direct_country","AT","","2021","1","female","Marie","Marie","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","1","male","Paul","Paul","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","1","female","Sophia","Sophia","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","1","male","Mateo","Mateo","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","2","female","Emilia","Emilia","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","2","male","Jakob","Jakob","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","2","female","Emilia","Emilia","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","2","male","Luka","Luka","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","3","female","Anna","Anna","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","3","male","Maximilian","Maximilian","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","3","female","Sara","Sara","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","3","male","Theodor","Theodor","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","4","female","Emma","Emma","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","4","male","Elias","Elias","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","4","female","Hannah","Hannah","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","4","male","Elias","Elias","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","5","female","Lena","Lena","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","5","male","David","David","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","5","female","Mia","Mia","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","5","male","Noah","Noah","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","6","female","Mia","Mia","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","6","male","Felix","Felix","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","6","female","Emma","Emma","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","6","male","Felix","Felix","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","7","female","Laura","Laura","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","7","male","Leon","Leon","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","7","female","Anna","Anna","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","7","male","Mohammad","Mohammad","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","8","female","Valentina","Valentina","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","8","male","Tobias","Tobias","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","8","female","Sophie","Sophie","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","8","male","Alexander","Alexander","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","9","female","Hannah","Hannah","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","9","male","Jonas","Jonas","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","9","female","Laura","Laura","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","9","male","Adam","Adam","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","10","female","Lea","Lea","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","","2021","10","male","Noah","Noah","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","10","female","Elena","Elena","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","AT","Vienna","2022","10","male","David","David","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","1","female","Emilia","Emilia","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","1","male","Noah","Noah","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","2","female","Mia","Mia","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","2","male","Matteo","Matteo","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","3","female","Sophia","Sophia","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","3","male","Elias","Elias","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","4","female","Emma","Emma","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","4","male","Finn","Finn","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","5","female","Hannah","Hannah","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","5","male","Leon","Leon","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","6","female","Lina","Lina","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","6","male","Theo","Theo","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","7","female","Mila","Mila","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","7","male","Paul","Paul","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","8","female","Ella","Ella","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","8","male","Emil","Emil","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","9","female","Leni","Leni","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","9","male","Henry","Henry","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","10","female","Clara","Clara","","","popular-names-by-country-dataset","CC0-1.0"
"0","German","direct_country","DE","","2022","10","male","Ben","Ben","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","England","2021","1","female","Olivia","Olivia","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","England","2021","1","male","Noah","Noah","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Wales","2021","1","female","Olivia","Olivia","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Wales","2021","1","male","Noah","Noah","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Northern Ireland","2022","1","female","Grace","Grace","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Northern Ireland","2022","1","male","James","James","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Scotland","2022","1","female","Olivia","Olivia","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Scotland","2022","1","male","Noah","Noah","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","England","2021","2","female","Amelia","Amelia","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","England","2021","2","male","George","George","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Wales","2021","2","female","Amelia","Amelia","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Wales","2021","2","male","Oliver","Oliver","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Northern Ireland","2022","2","female","Emily","Emily","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Northern Ireland","2022","2","male","Jack","Jack","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Scotland","2022","2","female","Isla","Isla","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Scotland","2022","2","male","Jack","Jack","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","England","2021","3","female","Isla","Isla","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","England","2021","3","male","Oliver","Oliver","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Wales","2021","3","female","Isla","Isla","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Wales","2021","3","male","Arthur","Arthur","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Northern Ireland","2022","3","female","Fiadh","Fiadh","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Northern Ireland","2022","3","male","Noah","Noah","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Scotland","2022","3","female","Freya","Freya","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Scotland","2022","3","male","Leo","Leo","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","England","2021","4","female","Ava","Ava","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","England","2021","4","male","Muhammad","Muhammad","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Wales","2021","4","female","Freya","Freya","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Wales","2021","4","male","Theo","Theo","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Northern Ireland","2022","4","female","Olivia","Olivia","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Northern Ireland","2022","4","male","Theo","Theo","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Scotland","2022","4","female","Millie","Millie","","","popular-names-by-country-dataset","CC0-1.0"
"1","English","direct_country","GB","Scotland","2022","4","male","Harris","Harris","","","popular-names-by-country-dataset","CC0-1.0"
